DAT|DATA
24.4|Aleksander Aleksy Egbert Erwin Erwina Fidelis Grzegorz Horacjusz Horacy Zbroimir
25.4|Jarosław Marek Wasyl
26.4|Artemon Klaudiusz Klet Marcelin Marcelina Maria Marzena Spycimir
27.4|Anastazy Andrzej Bożebor Kanizjusz Martyn Piotr Teofil Zyta
28.4|Arystarch Maria Paweł Przybyczest Waleria Witalis
29.4|Angelina Augustyn Bogusław Hugo Hugon Paulin Piotr Rita Robert Roberta Sybilla
30.4|Bartłomiej Chwalisława Eutropiusz Jakub Katarzyna Lilla Marian
1.5|Aniela Filip Jakub Jeremi Jeremiasz Józef Lubomir
2.5|Afanazy Anatol Atanazy Longin Longina Walenty Walter Witomir Zygmunt
3.5|Aleksander Antonina Maria Mariola Świętosława
4.5|Florian Grzegorz January Michał Monika Paulin Strzeżywoj
5.5|Irena Ita Pius Teodor Waldemar Zdzibor
6.5|Benedykta Benita Dytrych Gościwit Jan Judyta Jurand
7.5|Benedykt Bogumir Domicela Flawia Florian Gizela Gustawa Ludmiła Ludomiła Sawa Wincenta
8.5|Dezyderia Ilza Marek Michał Piotr Stanisław
9.5|Beatus Bożydar Grzegorz Job Karolina Mikołaj
10.5|Antonin Częstomir Izydor Jan Symeon Wiktoryna
11.5|Adalbert Benedykt Filip Franciszek Iga Ignacja Ignacy Lew Lutogniew Mamert Mira
12.5|Domicela Domicjan Dominik Epifani Flawia Jan Jazon Joanna Pankracy Wszemił
13.5|Andrzej Aron Ciechosław Gloria Magdalena Piotr Robert Roberta Serwacy
14.5|Bonifacy Bończa Dobiesław Jeremi Jeremiasz Wiktor Wiktoriusz
15.5|Afanazy Atanazy Berta Cecyliusz Czcibora Dionizja Izydor Jan Nadzieja Ruprecht Strzeżysław Zofia
16.5|Andrzej Honorat Jędrzej Nepomucen Szymon Trzebomysł Ubald Wieńczysław Wiktorian
17.5|Bruno Herakliusz Paschalis Sławomir Torpet Weronika Wiktor Wiktoriusz
18.5|Aleksander Aleksandra Alicja Edwin Eryk Eryka Feliks Irina Liboriusz Myślibor Wenancjusz
19.5|Augustyn Celestyn Iwo Mikołaj Pękosław Piotr Potencjana
20.5|Anastazy Asteriusz Bazyli Bazylid Bazylis Bernardyn Bernardyna Bronimir Iwo Sawa Teodor Wiktoria
21.5|Donat Donata Jan Kryspin Przecława Pudens Tymoteusz Walenty Wiktor Wiktoriusz
22.5|Emil Helena Jan Julia Krzesisława Rita Wiesław Wiesława Wisława
23.5|Budziwoj Dezyderiusz Dezydery Emilia Iwona Jan Leontyna Michał Symeon
24.5|Cieszysława Estera Jan Joanna Maria Mokij Wincenty Zula Zuzanna
25.5|Epifan Grzegorz Imisława Urban
26.5|Beda Filip Marianna Paulina Więcemił Wilhelmina
27.5|Beda Izydor Jan Juliusz Lucjan Magdalena Radowit
28.5|Augustyn German Jaromir Priam Wiktor Wiktoriusz Wilhelm Wrócimir
29.5|Bogusława Maksymilian Teodor Teodozja
30.5|Andonik Feliks Ferdynand Joanna Sulimir
31.5|Aniela Bożysława Ernesta Ernestyna Feliks Petronela Petronia Petroniusz Teodor
1.6|Alfons Alfonsyna Bernard Fortunat Gracjana Hortensjusz Jakub Konrad Konrada Magdalena Nikodem Symeon Świętopełk
2.6|Efrem Erazm Eugeniusz Marcelin Maria Marianna Mikołaj Nicefor Piotr Racisław
3.6|Cecyliusz Ferdynand Klotylda Konstantyn Laurencjusz Laurentyn Laurentyna Leszek Paula Tamara Wawrzyniec
4.6|Bazyliusz Dacjan Franciszek Gościmił Karol Karp
5.6|Bonifacy Bończa Dobrociech Dobromir Nikanor Waleria Walter
6.6|Benignus Dominika Klaudiusz Laurenty Norbert Norberta Paulina Symeon Więcerad
7.6|Antoni Ciechomir Jarosław Lukrecja Paweł Robert Roberta Wiesław Wisław
8.6|Karp Maksym Medard Seweryn Wilhelm Wyszesław
9.6|Felicjan Pelagia Pelagiusz
10.6|Bogumił Edgar Małgorzata Mauryn Nikita Onufry
11.6|Anastazy Barnaba Feliks Radomił Teodozja
12.6|Antonina Bazyli Jan Leon Onufry Wyszemir
13.6|Antoni Chociemir Herman Lucjan Tobiasz
14.6|Bazylid Bazylis Eliza Justyn Justyna Ninogniew Walerian Waleriana
15.6|Abraham Angelina Bernard Jolanta Leona Leonida Nikifor Wit Witold Witolda Witołd Witosław Wodzisław
16.6|Alina Aneta Benon Budzimir Jan Justyna Ludgarda
17.6|Adolf Adolfa Adolfina Agnieszka Alf Drogomysł Franciszek Laura Marcjan Radomił Rainer Wolmar
18.6|Efrem Elżbieta Gerwazy Leonia Marek Marina Paula
19.6|Borzysław Gerwazy Julianna Odo Protazy Sylweriusz
20.6|Bogna Bogumiła Bożena Florentyna Franciszek Michał Rafaela Rafał Sylwery
21.6|Albaniusz Alicja Alojza Alojzy Demetria Domamir Marta Rudolf Rudolfa Rudolfina Teodor
22.6|Achacjusz Achacy Agenor Alban Broniwoj Flawiusz Innocenta Innocenty Kirył Paulina
23.6|Agrypina Albin Bazyli Józef Piotr Prosper Wanda Zenon Zenona
24.6|Dan Danisz Danuta Emilia Jan Wilhelm
25.6|Albrecht Eulogiusz Lucja Łucja Tolisława Wilhelm
26.6|Jan Jeremi Jeremiasz Paweł Zdziwoj
27.6|Władysław Władysława Włodzisław
28.6|Amos Ireneusz Józef Leon Paweł Raissa Zbrosław
29.6|Benedykta Benita Dalebor Paweł Piotr
30.6|Alpinian Ciechosława Cyryl Emilia Lucyna Marcjal
1.7|Aaron Bogusław Halina Klarysa Marian Niegosława Teobald
2.7|Juda Maria Martynian Otto Piotr Urban
3.7|Anatol Jacek Korneli Leon Miłosław Otto
4.7|Ageusz Alfred Aurelian Elżbieta Innocenta Innocenty Józef Julian Malwin Malwina Odo Teodor Wielisław
5.7|Antoni Bartłomiej Filomena Jakub Karolina Michał Przybywoj Szarlota Wilhelm
6.7|Agrypina Chociebor Dominik Dominika Goar Gotard Lucja Łucja Niegosław
7.7|Antoni Benedykt Cyryl Estera Kira Metody Piotr Pompejusz Sędzisława Wilibald
